"Name","Location","Price","Currency","Rating"
"NASEEM","Riyadh",36,"SAR","3.9"
"BATHA","Riyadh",36,"SAR","4.2"
"Nzha","Al Olayya, Al Khobar",38,"SAR","5.4"
"Flower","Dammam",38,"SAR","5"
"Yamamah","Al Yamamah, Riyadh",38,"SAR","5"
"Khaleej","Dammam",38,"SAR","5"
"Ronama Chalets and Apartments","Al Majaridah",38,"SAR","4.2"
"Sunset fog","Dammam",40,"SAR","5.4"
"REEMAL","Riyadh",40,"SAR","5.6"
"Adamah","Dammam",48,"SAR","5.8"
"Rose","Dammam",74,"SAR","5.6"
"Althuqbah","Al Khobar",74,"SAR","5"
"The Pacific River","Dammam",74,"SAR","5"
"Ruba Al Hijaz Hotel","Mecca",76,"SAR","5"
"Masat Al Mohand Al Rouda","Mecca",80,"SAR","5"
"Zahrat Al Yassir Hotel","Mecca",100,"SAR","5"
"Hidayah Al Yaser","Mecca",100,"SAR","5.5"
"Masaya Furnished Apartments","Al Olayya, Al Khobar",101,"SAR","5"
"Jazli Hotel Suites","Jeddah",106,"SAR","7.0"
"Helm Jeddah Hotel Apartments","Jeddah",110,"SAR","5.6"
"Danat Apartments","Al Olayya, Al Khobar",120,"SAR","5.8"
"The Blue Bow","Mecca",120,"SAR","5.6"
"Al Qimah Apartments","Dammam",124,"SAR","5"
"Amwaj Al Corniche Hotel Suites","Al Khobar",130,"SAR","6.5"
"Wardah Al Khobar Apartment","Al Aqrabeyah, Al Khobar",138,"SAR","5.6"
"Makarem Al Olaya Suites","Al Olayya, Al Khobar",138,"SAR","5.6"
"Al Quba Al Zahabia Furnished Units","Riyadh",140,"SAR","5.8"
"Fadet Talla Residentials","Buraydah",140,"SAR","5.9"
"Khobar Palace Hotel","Al Khobar",140,"SAR","6.0"
"Hana Yanbu Hotel Apartments","Yanbu",150,"SAR","6.5"
"Abeer Al Azizia Hotel","Mecca",152,"SAR","6.9"
"Mouj Elbahr Aparthotel","Yanbu",158,"SAR","5.9"
"Khobar Fantastic Furnished Apartments","Al Khobar",158,"SAR","6.4"
"Zwarah Hotel Suites","Jeddah",160,"SAR","6.2"
"Najmat Sabbabah Furnished Units","Hail",160,"SAR","7.2"
"Fakher Yanbu II","Yanbu",160,"SAR","5.2"
"Dar Alataf Furnished Apartments","Hera Street, Jeddah",162,"SAR","5.9"
"Diafah ApartHotel","Al Khobar",168,"SAR","5"
"Assal Hail Hotel Apartments","Hail",168,"SAR","7.5"
"Al Akhawain Furnished Units","Jeddah",170,"SAR","5.4"
"Grand Plaza Hotel Suites","Al Olayya, Al Khobar",178,"SAR","7.6"
"Marasi Al Madinah","Al Olayya, Al Khobar",178,"SAR","7.0"
"Aliah Tolan Palace","Riyadh",178,"SAR","5.9"
"Shouel Inn Furnished Apartments","Mecca",180,"SAR","5.4"
"Mkani Apartment","Al Olayya, Al Khobar",180,"SAR","4.8"
"Dar Lebanon","Jeddah",186,"SAR","7.1"
"Al Arjowan Hotel Units","Abha",186,"SAR","8.1"
"Dorar Almasyah Aparthotel","Riyadh",188,"SAR","7.9"
"La Fontaine Ronas Suites","Abha",189,"SAR","7.1"
"Al Masarah Furnished Units","Yanbu",190,"SAR","5"
"Kenanah Jeddah Hotel","Jeddah",192,"SAR","6.6"
"Fully furnished flat for rent","Jazan",192,"SAR","5.5"
